SHP_LG_ROUTE_ID;ID;PRO_ORIG_DE;PRO_ORIG_AT;DATA_PROMESSA;IMPACTO_DIT;PREFIXO;FACILITY;STATUS
401617364;47296808247;2026-06-20;2026-06-26;2026-06-26;VENCIDO;N21_AM4;EPA9;planned
401617364;47301827333;2026-06-26;2026-07-02;2026-07-02;VENCIDO;N21_AM4;EPA9;planned
401617364;47318749935;2026-06-27;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47339298691;2026-06-28;2026-07-04;2026-07-04;ON TIME;N21_AM4;EPA9;planned
401617364;47348551603;2026-06-27;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47351868565;2026-07-05;2026-07-08;2026-07-08;EARLY;N21_AM4;EPA9;planned
401617364;47354169835;2026-06-28;2026-07-02;2026-07-02;VENCIDO;N21_AM4;EPA9;planned
401617364;47356784977;2026-06-30;2026-07-01;2026-07-01;VENCIDO;N21_AM4;EPA9;planned
401617364;47357580391;2026-06-27;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47357957156;2026-06-27;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47363519933;2026-06-27;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47363794226;2026-06-30;2026-07-06;2026-07-06;EARLY;N21_AM4;EPA9;planned
401617364;47365816761;2026-06-27;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47367335695;2026-06-30;2026-07-01;2026-07-01;VENCIDO;N21_AM4;EPA9;planned
401617364;47370799084;2026-06-29;2026-06-30;2026-06-30;VENCIDO;N21_AM4;EPA9;planned
401617364;47375164051;2026-06-29;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47377482926;2026-06-30;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47377783359;2026-06-29;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47378554890;2026-06-29;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47378630036;2026-06-30;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47379671861;2026-06-29;2026-07-03;2026-07-03;VENCIDO;N21_AM4;EPA9;planned
401617364;47380880728;2026-07-01;;2026-07-01;VENCIDO;N21_AM4;EPA9;planned
401617364;47383515191;2026-07-01;;2026-07-01;VENCIDO;N21_AM4;EPA9;planned
401617364;47387284635;2026-06-30;2026-07-04;2026-07-04;ON TIME;N21_AM4;EPA9;planned
401617364;47388964335;2026-06-30;2026-07-04;2026-07-04;ON TIME;N21_AM4;EPA9;planned
401617364;47390483562;2026-07-07;2026-07-08;2026-07-08;EARLY;N21_AM4;EPA9;planned
401617364;47401900536;2026-07-01;;2026-07-01;VENCIDO;N21_AM4;EPA9;planned
401617364;47405120274;2026-07-01;;2026-07-01;VENCIDO;N21_AM4;EPA9;planned
402570162;47344037792;2026-06-28;2026-07-04;2026-07-04;ON TIME;A24_PM1;ETO4;planned
402570162;47369102425;2026-07-02;2026-07-06;2026-07-06;EARLY;A24_PM1;ETO4;planned
402570162;47369743903;2026-07-02;2026-07-06;2026-07-06;EARLY;A24_PM1;ETO4;planned
402570162;47369870230;2026-06-30;2026-07-06;2026-07-06;EARLY;A24_PM1;ETO4;planned
402570162;47369890880;2026-06-30;2026-07-06;2026-07-06;EARLY;A24_PM1;ETO4;planned
402570162;47370034118;2026-07-02;2026-07-07;2026-07-07;EARLY;A24_PM1;ETO4;planned
402570162;47370439525;2026-07-03;2026-07-07;2026-07-07;EARLY;A24_PM1;ETO4;planned
402570162;47372630431;2026-07-02;2026-07-06;2026-07-06;EARLY;A24_PM1;ETO4;planned
402570162;47377428984;2026-07-01;2026-07-07;2026-07-07;EARLY;A24_PM1;ETO4;planned
402570162;47377842679;2026-07-03;2026-07-07;2026-07-07;EARLY;A24_PM1;ETO4;planned
402570162;47378695349;2026-07-03;2026-07-07;2026-07-07;EARLY;A24_PM1;ETO4;planned
402570162;47387846400;2026-07-03;2026-07-05;2026-07-05;EARLY;A24_PM1;ETO4;planned
402570162;47388141527;2026-07-03;2026-07-05;2026-07-05;EARLY;A24_PM1;ETO4;planned
402570162;47389996177;2026-07-03;2026-07-05;2026-07-05;EARLY;A24_PM1;ETO4;planned
402570162;47390005540;2026-07-04;2026-07-06;2026-07-06;EARLY;A24_PM1;ETO4;planned
402570162;47391007968;2026-07-02;2026-07-04;2026-07-04;ON TIME;A24_PM1;ETO4;planned
402570162;47391303132;2026-07-04;;2026-07-04;ON TIME;A24_PM1;ETO4;planned
402570162;47391756125;2026-07-03;;2026-07-03;VENCIDO;A24_PM1;ETO4;planned
402570162;47393392717;2026-07-04;2026-07-06;2026-07-06;EARLY;A24_PM1;ETO4;planned
402570162;47395067996;2026-07-04;;2026-07-04;ON TIME;A24_PM1;ETO4;planned
402570162;47395109404;2026-07-04;2026-07-06;2026-07-06;EARLY;A24_PM1;ETO4;planned
402570162;47396006533;2026-07-02;2026-07-04;2026-07-04;ON TIME;A24_PM1;ETO4;planned
402570162;47396625468;2026-07-05;;2026-07-05;EARLY;A24_PM1;ETO4;planned
402570162;47397413827;;;;;A24_PM1;ETO4;planned
402570162;47397790353;2026-07-03;2026-07-05;2026-07-05;EARLY;A24_PM1;ETO4;planned
402570162;47398058859;2026-07-04;;2026-07-04;ON TIME;A24_PM1;ETO4;planned
402570162;47398161707;2026-07-05;2026-07-07;2026-07-07;EARLY;A24_PM1;ETO4;planned
402570162;47398234384;2026-07-03;2026-07-05;2026-07-05;EARLY;A24_PM1;ETO4;planned
